Temps	Canal A	Canal B
(s)	(V)	(V)

0.02785280	5.09231900	0.01312296
0.02818048	5.00442500	0.01312296
0.02850816	5.09231900	-0.07446516
0.02883584	5.09231900	0.18799400
0.02916352	5.09231900	-0.07446516
0.02949120	5.09231900	-0.07446516
0.02981888	5.09231900	0.01312296
0.03014656	5.09231900	-0.07446516
0.03047424	5.09231900	-0.07446516
0.03080192	5.09231900	-0.07446516
0.03112960	5.00442500	0.01312296
0.03145728	5.00442500	0.01312296
0.03178496	5.09231900	0.01312296
0.03211264	5.09231900	-0.07446516
0.03244032	5.00442500	0.01312296
0.03276800	5.09231900	0.01312296
0.03309568	5.09231900	0.01312296
0.03342336	5.09231900	-0.07446516
0.03375104	5.09231900	0.10040590
0.03407872	5.00442500	0.01312296
0.03440640	5.09231900	-0.07446516
0.03473408	5.09231900	0.01312296
0.03506176	5.00442500	0.01312296
0.03538944	5.00442500	0.01312296
0.03571712	5.09231900	0.01312296
0.03604480	5.09231900	-0.07446516
0.03637248	5.00442500	0.01312296
0.03670016	5.00442500	0.01312296
0.03702784	5.09231900	-0.07446516
0.03735552	5.00442500	-0.07446516
0.03768320	5.09231900	-0.07446516
0.03801088	5.09231900	0.01312296
0.03833856	5.00442500	0.01312296
0.03866624	5.09231900	0.01312296
0.03899392	5.09231900	-0.07446516
0.03932160	5.09231900	-0.07446516
0.03964928	5.00442500	0.10040590
0.03997696	5.00442500	0.01312296
0.04030464	5.09231900	0.01312296
0.04063232	5.09231900	0.01312296
0.04096000	5.09231900	0.01312296
0.04128768	5.09231900	0.01312296
0.04161536	5.09231900	-0.07446516
0.04194304	5.09231900	-0.07446516
0.04227072	5.09231900	0.01312296
0.04259840	5.00442500	0.01312296
0.04292608	5.09231900	0.01312296
0.04325376	5.09231900	0.01312296
0.04358144	5.09231900	0.10040590
0.04390912	5.09231900	0.01312296
0.04423680	5.09231900	-0.07446516
0.04456448	5.09231900	0.10040590
0.04489216	5.09231900	-0.07446516
0.04521984	5.09231900	0.01312296
0.04554752	5.09231900	-0.07446516
0.04587520	5.09231900	0.01312296
0.04620288	5.09231900	-0.07446516
0.04653056	5.00442500	-0.07446516
0.04685824	5.09231900	-0.07446516
0.04718592	5.09231900	0.01312296
0.04751360	5.09231900	0.01312296
0.04784128	5.00442500	0.01312296
0.04816896	5.09231900	0.01312296
0.04849664	5.00442500	0.10040590
0.04882432	5.00442500	0.01312296
0.04915200	5.09231900	0.01312296
0.04947968	5.09231900	0.01312296
0.04980736	5.09231900	0.01312296
0.05013504	5.00442500	0.01312296
0.05046272	5.09231900	0.01312296
0.05079040	5.09231900	0.01312296
0.05111808	5.09231900	0.01312296
0.05144576	5.09231900	-0.07446516
0.05177344	5.09231900	0.01312296
0.05210112	5.09231900	-0.07446516
0.05242880	5.09231900	0.10040590
0.05275648	5.00442500	-0.07446516
0.05308416	5.09231900	0.01312296
0.05341184	5.09231900	0.01312296
0.05373952	5.09231900	0.01312296
0.05406720	5.00442500	0.01312296
0.05439488	5.09231900	0.01312296
0.05472256	5.09231900	0.18799400
0.05505024	5.09231900	0.01312296
0.05537792	5.00442500	-0.07446516
0.05570560	5.00442500	0.01312296
0.05603328	5.00442500	0.01312296
0.05636096	5.09231900	0.01312296
0.05668864	5.09231900	0.01312296
0.05701632	5.00442500	0.01312296
0.05734400	5.00442500	0.01312296
0.05767168	5.09231900	0.01312296
0.05799936	5.00442500	0.01312296
0.05832704	5.00442500	0.01312296
0.05865472	5.09231900	0.01312296
0.05898240	5.09231900	0.01312296
0.05931008	5.00442500	0.10040590
0.05963776	5.09231900	-0.07446516
0.05996544	5.09231900	0.01312296
0.06029312	5.09231900	0.01312296
0.06062080	5.09231900	0.01312296
0.06094848	5.09231900	0.01312296
0.06127616	5.09231900	0.01312296
0.06160384	5.00442500	0.01312296
0.06193152	5.00442500	-0.07446516
0.06225920	5.00442500	0.01312296
0.06258688	5.09231900	0.01312296
0.06291456	5.00442500	-0.07446516
0.06324224	5.00442500	0.01312296
0.06356992	5.00442500	-0.07446516
0.06389760	5.09231900	0.01312296
0.06422528	5.00442500	0.01312296
0.06455296	5.09231900	-0.07446516
0.06488064	5.00442500	0.18799400
0.06520832	5.00442500	0.01312296
0.06553600	5.00442500	-0.07446516
0.06586368	5.09231900	0.01312296
0.06619136	5.00442500	0.01312296
0.06651904	5.09231900	-0.07446516
0.06684672	5.09231900	0.01312296
0.06717440	5.09231900	0.01312296
0.06750208	5.09231900	0.01312296
0.06782976	5.00442500	0.01312296
0.06815744	5.00442500	-0.07446516
0.06848512	5.09231900	0.01312296
0.06881280	5.09231900	-0.07446516
0.06914048	5.09231900	-0.07446516
0.06946816	5.09231900	0.10040590
0.06979584	5.09231900	0.01312296
0.07012352	5.09231900	0.01312296
0.07045120	5.09231900	0.01312296
0.07077888	5.09231900	0.01312296
0.07110656	5.09231900	0.01312296
0.07143424	5.09231900	0.01312296
0.07176192	5.09231900	0.01312296
0.07208960	5.09231900	-0.07446516
0.07241728	5.09231900	0.01312296
0.07274496	5.09231900	0.01312296
0.07307264	5.09231900	0.01312296
0.07340032	5.09231900	0.01312296
0.07372800	5.09231900	-0.07446516
0.07405568	5.09231900	0.10040590
0.07438336	5.09231900	0.01312296
0.07471104	5.00442500	-0.07446516
0.07503872	5.09231900	0.10040590
0.07536640	5.00442500	0.01312296
0.07569408	5.00442500	0.01312296
0.07602176	5.09231900	0.01312296
0.07634944	5.09231900	0.01312296
0.07667712	5.00442500	0.01312296
0.07700480	5.09231900	0.01312296
0.07733248	5.09231900	0.01312296
0.07766016	5.09231900	-0.07446516
0.07798784	5.09231900	0.01312296
0.07831552	5.00442500	0.01312296
0.07864320	5.00442500	0.01312296
0.07897088	5.09231900	0.01312296
0.07929856	5.09231900	0.01312296
0.07962624	5.09231900	-0.07446516
0.07995392	5.09231900	-0.07446516
0.08028160	5.09231900	-0.07446516
0.08060928	5.09231900	-0.07446516
0.08093696	5.09231900	-0.07446516
0.08126464	5.09231900	0.01312296
0.08159232	5.09231900	-0.07446516
0.08192000	5.09231900	-0.07446516
0.08224768	5.09231900	0.01312296
0.08257536	5.00442500	-0.07446516
0.08290304	5.00442500	0.01312296
0.08323072	5.09231900	0.01312296
0.08355840	5.09231900	0.01312296
0.08388608	5.09231900	0.01312296
0.08421376	5.09231900	0.01312296
0.08454144	5.00442500	0.01312296
0.08486912	5.00442500	0.01312296
0.08519680	5.00442500	-0.16174810
0.08552448	5.00442500	0.01312296
0.08585216	5.00442500	0.01312296
0.08617984	5.00442500	0.01312296
0.08650752	5.09231900	0.01312296
0.08683520	5.09231900	0.01312296
0.08716288	5.09231900	0.01312296
0.08749056	5.09231900	-0.07446516
0.08781824	5.00442500	0.01312296
0.08814592	5.00442500	0.01312296
